algo,condition,seed,episode,return,length,switched,fired_at
PPO_DR,C2,1,16,8.681844432370525,299,False,
PPO_DR,C2,1,17,9.836242984272275,278,False,
PPO_DR,C2,1,18,29.27850011915237,294,False,
PPO_DR,C2,1,19,12.161798475415338,280,False,
PPO_DR,C3,1,0,-7.543015685841198,252,True,200.0
PPO_DR,C3,1,1,-247.71322440566018,468,True,200.0
PPO_DR,C3,1,2,22.83609821156935,254,True,200.0
PPO_DR,C3,1,3,62.28602046946801,258,True,200.0
PPO_DR,C3,1,4,10.832853968921498,248,True,200.0
PPO_DR,C3,1,5,-5.898503046831337,250,True,200.0
PPO_DR,C3,1,6,32.190523965129245,254,True,200.0
PPO_DR,C3,1,7,-12.499900333339937,244,True,200.0
PPO_DR,C3,1,8,12.403614569660817,265,True,200.0
PPO_DR,C3,1,9,42.75135662374754,265,True,200.0
PPO_DR,C3,1,10,28.31359714435996,251,True,200.0
PPO_DR,C3,1,11,-5.448051321043849,249,True,200.0
PPO_DR,C3,1,12,12.441476971223537,253,True,200.0
PPO_DR,C3,1,13,-2.935005370992073,255,True,200.0
PPO_DR,C3,1,14,12.913542844550818,250,True,200.0
PPO_DR,C3,1,15,-22.798671540450997,245,True,200.0
PPO_DR,C3,1,16,27.87798996875287,252,True,200.0
PPO_DR,C3,1,17,30.7816802982083,249,True,200.0
PPO_DR,C3,1,18,35.69714939205625,257,True,200.0
PPO_DR,C3,1,19,-5.839375467368413,250,True,200.0
PPO_DR,C4,1,0,-1.6772944734230464,277,True,272.0
PPO_DR,C4,1,1,17.220850293756087,305,True,282.0
PPO_DR,C4,1,2,16.822895545240513,279,True,260.0
PPO_DR,C4,1,3,45.713043191738194,257,True,202.0
PPO_DR,C4,1,4,250.08965286254525,331,True,266.0
PPO_DR,C4,1,5,10.200356442876455,272,True,235.0
PPO_DR,C4,1,6,29.82542471665562,292,True,269.0
PPO_DR,C4,1,7,218.87765519643978,332,True,227.0
PPO_DR,C4,1,8,277.5916703755423,370,True,280.0
PPO_DR,C4,1,9,20.20525129931943,287,True,272.0
PPO_DR,C4,1,10,33.776786113968285,254,True,202.0
PPO_DR,C4,1,11,20.81237206410404,288,True,271.0
PPO_DR,C4,1,12,28.07259338491818,279,True,275.0
PPO_DR,C4,1,13,-1.880321318577316,265,True,220.0
PPO_DR,C4,1,14,25.61081354392121,272,True,219.0
PPO_DR,C4,1,15,12.157921951942939,273,False,
PPO_DR,C4,1,16,8.681844432370525,299,False,
PPO_DR,C4,1,17,9.836242984272275,278,True,275.0
PPO_DR,C4,1,18,27.606804888132928,294,True,282.0
PPO_DR,C4,1,19,20.490534770857977,269,True,225.0
PPO_DR,C6,1,0,200.35751007106592,532,False,
