algo,rate,seed,episode,return,length,final_gain
PPO,0.01,2,8.0,-39.611687865038576,208.0,0.0
PPO,0.01,2,9.0,-49.36297002736903,196.0,0.04999999999999993
PPO,0.01,2,10.0,-36.12791440904428,213.0,0.0
PPO,0.01,2,11.0,-23.293063329157903,196.0,0.04999999999999993
PPO,0.01,2,12.0,-61.33631868256458,200.0,0.010000000000000009
PPO,0.01,2,13.0,-4.5015798924366095,194.0,0.06999999999999995
PPO,0.01,2,14.0,-41.65559094762246,201.0,0.0
PPO,0.01,2,15.0,-27.376083143972707,193.0,0.07999999999999996
PPO,0.01,2,16.0,-28.48520350647091,198.0,0.030000000000000027
PPO,0.01,2,17.0,-29.94454646380774,213.0,0.0
PPO,0.01,2,18.0,-27.544524084696803,196.0,0.04999999999999993
PPO,0.01,2,19.0,-40.04393502029775,208.0,0.0
PPO,0.01,3,0.0,-43.01507559067657,189.0,0.12
PPO,0.01,3,1.0,-16.762972683069037,202.0,0.0
PPO,0.01,3,2.0,-28.05236789462745,192.0,0.08999999999999997
PPO,0.01,3,3.0,-5.72562410575874,192.0,0.08999999999999997
PPO,0.01,3,4.0,14.970820855243488,207.0,0.0
PPO,0.01,3,5.0,-13.370559299348031,204.0,0.0
PPO,0.01,3,6.0,-11.551726360834166,208.0,0.0
PPO,0.01,3,7.0,-20.00336180495208,209.0,0.0
PPO,0.01,3,8.0,-30.023350149243626,210.0,0.0
PPO,0.01,3,9.0,-34.28581237976398,198.0,0.030000000000000027
PPO,0.01,3,10.0,-13.564989887516447,196.0,0.04999999999999993
PPO,0.01,3,11.0,-31.121459082025652,195.0,0.05999999999999994
PPO,0.01,3,12.0,-51.09123562465285,198.0,0.030000000000000027
PPO,0.01,3,13.0,-14.375619877601721,201.0,0.0
PPO,0.01,3,14.0,-26.49657766186455,205.0,0.0
PPO,0.01,3,15.0,-28.024171956382077,190.0,0.10999999999999999
PPO,0.01,3,16.0,-40.49677229027757,200.0,0.010000000000000009
PPO,0.01,3,17.0,-29.578062067513855,193.0,0.07999999999999996
PPO,0.01,3,18.0,-26.364116413306746,194.0,0.06999999999999995
PPO,0.01,3,19.0,-29.755861951863963,196.0,0.04999999999999993
PPO,0.01,4,0.0,-52.5666133293915,200.0,0.010000000000000009
PPO,0.01,4,1.0,-4.472556622190197,180.0,0.20999999999999996
PPO,0.01,4,2.0,-22.787661493270207,200.0,0.010000000000000009
PPO,0.01,4,3.0,-51.95479562306052,189.0,0.12
PPO,0.01,4,4.0,-34.047563306321535,200.0,0.010000000000000009
PPO,0.01,4,5.0,-31.849915096578997,190.0,0.10999999999999999
PPO,0.01,4,6.0,-5.255395571545961,185.0,0.16000000000000003
PPO,0.01,4,7.0,-9.746408821437214,196.0,0.04999999999999993
PPO,0.01,4,8.0,24.425096384526057,183.0,0.17999999999999994
PPO,0.01,4,9.0,-7.875566397635495,191.0,0.09999999999999998
PPO,0.01,4,10.0,-28.910693019716533,202.0,0.0
PPO,0.01,4,11.0,-36.47515525929356,186.0,0.15000000000000002
PPO,0.01,4,12.0,-30.18796780358953,192.0,0.08999999999999997
PPO,0.01,4,13.0,-47.30201324055014,190.0,0.10999999999999999
PPO,0.01,4,14.0,5.4457063194981,191.0,0.09999999999999998
PPO,0.01,4,15.0,-18.461982900003335,198.0,0.030000000000000027
PPO,0.01,4,16.0,-1.1941878393891585,198.0,0.030000000000000027
PPO,0.01,4,17.0,-11.14100637112766,201.0,0.0
PPO,0.01,4,18.0,-31.382013079925642,193.0,0.07999999999999996
PPO,0.01,4,19.0,-28.946566568830605,197.0,0.040000000000000036
PPO,0.005,0,0.0,25.571598616326966,237.0,0.31999999999999995
PPO,0.005,0,1.0,33.86464508557685,241.0,0.29999999999999993
PPO,0.005,0,2.0,6.666337008461042,234.0,0.33499999999999996
PPO,0.005,0,3.0,50.3598450511993,226.0,0.375
PPO,0.005,0,4.0,-11.805090271204136,229.0,0.36
PPO,0.005,0,5.0,-0.7944758860100336,248.0,0.265
PPO,0.005,0,6.0,31.10690952855117,236.0,0.32499999999999996
PPO,0.005,0,7.0,1.8663509814649046,245.0,0.28
PPO,0.005,0,8.0,33.34734829444767,225.0,0.38
PPO,0.005,0,9.0,-21.58113321291509,245.0,0.28
PPO,0.005,0,10.0,9.113683592569373,241.0,0.29999999999999993
PPO,0.005,0,11.0,-46.828765987655245,248.0,0.265
PPO,0.005,0,12.0,27.96540485252669,247.0,0.27
PPO,0.005,0,13.0,18.880244513330965,233.0,0.33999999999999997
PPO,0.005,0,14.0,26.641577611961324,243.0,0.29000000000000004
PPO,0.005,0,15.0,27.228225664131827,237.0,0.31999999999999995
PPO,0.005,0,16.0,-37.97439681773227,231.0,0.35
PPO,0.005,0,17.0,-10.515208636005966,240.0,0.30499999999999994
PPO,0.005,0,18.0,41.19086328776572,234.0,0.33499999999999996
PPO,0.005,0,19.0,-3.488317112325433,251.0,0.25
PPO,0.005,1,0.0,26.237740984211726,203.0,0.49
PPO,0.005,1,1.0,275.0322745590656,294.0,0.03500000000000003
PPO,0.005,1,2.0,57.4969535162237,205.0,0.48
PPO,0.005,1,3.0,55.572845810147044,198.0,0.515
PPO,0.005,1,4.0,262.3612432755407,245.0,0.28
PPO,0.005,1,5.0,29.566345414362928,219.0,0.41000000000000003
PPO,0.005,1,6.0,53.78442914777841,219.0,0.41000000000000003
PPO,0.005,1,7.0,23.493566804058716,219.0,0.41000000000000003
PPO,0.005,1,8.0,75.23290103932001,213.0,0.43999999999999995
PPO,0.005,1,9.0,42.7080475498889,199.0,0.51
PPO,0.005,1,10.0,288.35826936552854,306.0,0.0
PPO,0.005,1,11.0,34.333454180626404,222.0,0.395
PPO,0.005,1,12.0,45.426059204625375,220.0,0.405
PPO,0.005,1,13.0,265.0648116876559,299.0,0.010000000000000009
PPO,0.005,1,14.0,265.2384674547119,310.0,0.0
PPO,0.005,1,15.0,253.67330277096926,255.0,0.22999999999999998
PPO,0.005,1,16.0,264.7626569618967,258.0,0.21499999999999997
PPO,0.005,1,17.0,35.600553198402,199.0,0.51
PPO,0.005,1,18.0,280.4934783618028,241.0,0.29999999999999993
PPO,0.005,1,19.0,46.882815624202806,220.0,0.405
PPO,0.005,2,0.0,-11.383019666443204,256.0,0.22499999999999998
