algo,gain,fault_step,seed,episode,return,length
PPO,0.5,100,1,0.0,-3.5087219662163562,159.0
PPO,0.5,100,1,1.0,44.4856445587624,193.0
PPO,0.5,100,1,2.0,10.634665480948684,164.0
PPO,0.5,100,1,3.0,22.346598549040564,157.0
PPO,0.5,100,1,4.0,33.636580533829004,167.0
PPO,0.5,100,1,5.0,-18.969202028965398,164.0
PPO,0.5,100,1,6.0,35.10312065285066,166.0
PPO,0.5,100,1,7.0,23.195114150041718,163.0
PPO,0.5,100,1,8.0,6.143900931775121,160.0
PPO,0.5,100,1,9.0,34.64645015002395,174.0
PPO,0.5,100,1,10.0,41.026818346225554,168.0
PPO,0.5,100,1,11.0,13.225105214926245,175.0
PPO,0.5,100,1,12.0,33.4652033188147,175.0
PPO,0.5,100,1,13.0,16.118037170026014,165.0
PPO,0.5,100,1,14.0,28.61436945975217,184.0
PPO,0.5,100,1,15.0,15.643267136855158,161.0
PPO,0.5,100,1,16.0,40.7232166643239,171.0
PPO,0.5,100,1,17.0,31.209552492623487,169.0
PPO,0.5,100,1,18.0,46.670122280005046,166.0
PPO,0.5,100,1,19.0,36.22561267711754,164.0
PPO,0.5,100,2,0.0,-32.94589494328214,182.0
PPO,0.5,100,2,1.0,22.670538264888535,242.0
PPO,0.5,100,2,2.0,12.775554050511161,190.0
PPO,0.5,100,2,3.0,9.16628903694587,227.0
PPO,0.5,100,2,4.0,-21.207565547481323,186.0
PPO,0.5,100,2,5.0,6.442312697818835,193.0
PPO,0.5,100,2,6.0,-36.06115076298689,199.0
PPO,0.5,100,2,7.0,33.92248493010496,223.0
PPO,0.5,100,2,8.0,-10.627088539234805,185.0
PPO,0.5,100,2,9.0,-49.216747069601084,176.0
PPO,0.5,100,2,10.0,10.18226462704132,206.0
PPO,0.5,100,2,11.0,4.198013259463053,182.0
PPO,0.5,100,2,12.0,-63.96902683350539,185.0
PPO,0.5,100,2,13.0,-6.007123055877059,177.0
PPO,0.5,100,2,14.0,5.700506993867094,200.0
PPO,0.5,100,2,15.0,-4.933007035993924,183.0
PPO,0.5,100,2,16.0,28.36490301345961,191.0
PPO,0.5,100,2,17.0,18.96837829274304,202.0
PPO,0.5,100,2,18.0,17.33272810065729,200.0
PPO,0.5,100,2,19.0,20.306145035011326,270.0
PPO,0.5,100,3,0.0,-14.242388359887272,186.0
PPO,0.5,100,3,1.0,19.381543930631025,181.0
PPO,0.5,100,3,2.0,23.892850596722,202.0
PPO,0.5,100,3,3.0,5.435025360024369,167.0
PPO,0.5,100,3,4.0,42.344786756189734,220.0
PPO,0.5,100,3,5.0,34.53210767805149,201.0
PPO,0.5,100,3,6.0,47.07390678750491,225.0
PPO,0.5,100,3,7.0,21.79349101470231,216.0
PPO,0.5,100,3,8.0,253.09093345893268,270.0
PPO,0.5,100,3,9.0,-3.745297143022441,211.0
PPO,0.5,100,3,10.0,12.168965750324887,186.0
PPO,0.5,100,3,11.0,10.09879932273634,193.0
PPO,0.5,100,3,12.0,11.851041189321307,211.0
PPO,0.5,100,3,13.0,24.49939880497479,182.0
PPO,0.5,100,3,14.0,23.296660527921063,217.0
PPO,0.5,100,3,15.0,-2.58610054188307,194.0
PPO,0.5,100,3,16.0,-8.740435282497799,201.0
PPO,0.5,100,3,17.0,-4.644394468442016,207.0
PPO,0.5,100,3,18.0,6.379631564592202,183.0
PPO,0.5,100,3,19.0,-11.525075620131659,169.0
PPO,0.5,100,4,0.0,-21.25833533438835,181.0
PPO,0.5,100,4,1.0,-8.849787072151429,172.0
PPO,0.5,100,4,2.0,-6.573586161521945,170.0
PPO,0.5,100,4,3.0,6.566198504669458,203.0
PPO,0.5,100,4,4.0,3.727164702125421,195.0
PPO,0.5,100,4,5.0,22.673642106310126,217.0
PPO,0.5,100,4,6.0,35.789532804592255,189.0
PPO,0.5,100,4,7.0,-11.003473023898707,181.0
PPO,0.5,100,4,8.0,20.2961816383323,166.0
PPO,0.5,100,4,9.0,12.27933122685397,175.0
PPO,0.5,100,4,10.0,16.47473692688932,223.0
PPO,0.5,100,4,11.0,-1.7105228002318427,188.0
PPO,0.5,100,4,12.0,-19.362188598560905,171.0
PPO,0.5,100,4,13.0,-0.07085877446378674,166.0
PPO,0.5,100,4,14.0,13.86474477083739,179.0
PPO,0.5,100,4,15.0,39.28986227302457,214.0
PPO,0.5,100,4,16.0,-5.869930429080924,177.0
PPO,0.5,100,4,17.0,28.70010711621393,189.0
PPO,0.5,100,4,18.0,2.458447915768005,180.0
PPO,0.5,100,4,19.0,2.9570892991703204,181.0
PPO,0.5,150,0,0.0,36.82211834378586,212.0
PPO,0.5,150,0,1.0,42.12502253217417,241.0
PPO,0.5,150,0,2.0,22.266394022442384,234.0
PPO,0.5,150,0,3.0,281.185867225498,308.0
PPO,0.5,150,0,4.0,9.591964145538356,230.0
PPO,0.5,150,0,5.0,-5.831309243638245,228.0
PPO,0.5,150,0,6.0,24.936848920547774,236.0
PPO,0.5,150,0,7.0,18.91479526994732,239.0
PPO,0.5,150,0,8.0,31.31220481796754,206.0
PPO,0.5,150,0,9.0,-6.626069892482278,212.0
PPO,0.5,150,0,10.0,17.400462463181256,240.0
PPO,0.5,150,0,11.0,3.787118925901197,227.0
PPO,0.5,150,0,12.0,21.708302222730552,232.0
PPO,0.5,150,0,13.0,22.873487929748336,235.0
PPO,0.5,150,0,14.0,20.16961561157359,252.0
PPO,0.5,150,0,15.0,26.914307898381878,244.0
PPO,0.5,150,0,16.0,-11.285766494144553,242.0
PPO,0.5,150,0,17.0,-5.46504449164604,217.0
PPO,0.5,150,0,18.0,25.751666313233343,218.0
PPO,0.5,150,0,19.0,13.141254639063703,217.0
PPO,0.5,150,1,0.0,22.235586776073887,203.0
PPO,0.5,150,1,1.0,270.8042567841021,260.0
PPO,0.5,150,1,2.0,47.0429274112779,197.0
PPO,0.5,150,1,3.0,60.68243691690918,190.0
PPO,0.5,150,1,4.0,30.856278038565137,196.0
PPO,0.5,150,1,5.0,31.385852973970373,206.0
PPO,0.5,150,1,6.0,55.17985141448008,207.0
PPO,0.5,150,1,7.0,22.156211066636104,194.0
PPO,0.5,150,1,8.0,71.87225785090448,206.0
PPO,0.5,150,1,9.0,287.22007682427807,277.0
PPO,0.5,150,1,10.0,52.01084762881729,207.0
PPO,0.5,150,1,11.0,17.48119770513145,205.0
PPO,0.5,150,1,12.0,58.497273480353726,211.0
PPO,0.5,150,1,13.0,34.224649826143235,201.0
PPO,0.5,150,1,14.0,33.20313906064075,216.0
PPO,0.5,150,1,15.0,28.32100474550799,190.0
PPO,0.5,150,1,16.0,26.26056584227061,190.0
PPO,0.5,150,1,17.0,52.41083963888866,209.0
PPO,0.5,150,1,18.0,281.83060213216885,286.0
PPO,0.5,150,1,19.0,38.3558407413029,199.0
PPO,0.5,150,2,0.0,-21.462923098961113,230.0
PPO,0.5,150,2,1.0,32.90178802265322,274.0
PPO,0.5,150,2,2.0,31.594505392958553,221.0
PPO,0.5,150,2,3.0,19.159377433577305,245.0
PPO,0.5,150,2,4.0,-4.418632178414285,226.0
PPO,0.5,150,2,5.0,24.549832002031863,230.0
PPO,0.5,150,2,6.0,-11.51405256516928,239.0
PPO,0.5,150,2,7.0,21.225122162896625,247.0
PPO,0.5,150,2,8.0,11.105650814285951,230.0
PPO,0.5,150,2,9.0,-32.256979240325606,222.0
PPO,0.5,150,2,10.0,40.805864174807766,266.0
PPO,0.5,150,2,11.0,7.947777486858797,216.0
PPO,0.5,150,2,12.0,-30.528133907338884,227.0
PPO,0.5,150,2,13.0,18.7973209855043,221.0
PPO,0.5,150,2,14.0,47.36676466834345,243.0
PPO,0.5,150,2,15.0,-5.377157001484164,221.0
PPO,0.5,150,2,16.0,46.66919106956689,230.0
PPO,0.5,150,2,17.0,27.744128414121974,239.0
PPO,0.5,150,2,18.0,27.42522861042461,233.0
PPO,0.5,150,2,19.0,40.88123628338812,285.0
PPO,0.5,150,3,0.0,-16.96318843568477,216.0
PPO,0.5,150,3,1.0,29.935870897517958,217.0
PPO,0.5,150,3,2.0,11.985649432946786,230.0
PPO,0.5,150,3,3.0,4.636161989330503,203.0
PPO,0.5,150,3,4.0,275.77533643880855,279.0
PPO,0.5,150,3,5.0,40.89202685550194,236.0
PPO,0.5,150,3,6.0,57.89933333678425,270.0
PPO,0.5,150,3,7.0,29.51613849739948,244.0
PPO,0.5,150,3,8.0,258.07987759262176,303.0
PPO,0.5,150,3,9.0,7.863017389867608,248.0
PPO,0.5,150,3,10.0,27.580356820592684,234.0
PPO,0.5,150,3,11.0,16.563611874844057,215.0
PPO,0.5,150,3,12.0,13.314974858085577,225.0
PPO,0.5,150,3,13.0,25.17014643915043,228.0
PPO,0.5,150,3,14.0,51.18170710122433,245.0
PPO,0.5,150,3,15.0,16.474099541526144,228.0
PPO,0.5,150,3,16.0,5.324373519916122,238.0
PPO,0.5,150,3,17.0,8.160149181967057,239.0
PPO,0.5,150,3,18.0,7.3147410767975884,216.0
PPO,0.5,150,3,19.0,16.34839412622499,212.0
PPO,0.5,150,4,0.0,-11.346637552458347,204.0
PPO,0.5,150,4,1.0,39.65105680238338,211.0
PPO,0.5,150,4,2.0,19.258392100457485,206.0
PPO,0.5,150,4,3.0,-6.733316244762577,227.0
PPO,0.5,150,4,4.0,32.19740081834732,219.0
PPO,0.5,150,4,5.0,9.351066500031266,231.0
PPO,0.5,150,4,6.0,37.78486063194134,225.0
PPO,0.5,150,4,7.0,7.782244585312185,221.0
PPO,0.5,150,4,8.0,41.87347357435672,202.0
PPO,0.5,150,4,9.0,4.716521233508786,207.0
